market_name,market_slug,market_url,market_listed_count,facility_name,operator,street_address,locality,detail_url
Falun,falun,https://www.datacentermap.com/sweden/falun/,2,EcoDataCenter 1,EcoDataCenter,Slaggvarpsvägen 21,791 77 Falun,https://www.datacentermap.com/sweden/falun/ecodatacenter-main/
Falun,falun,https://www.datacentermap.com/sweden/falun/,2,EcoDataCenter Borlänge,EcoDataCenter,Kvarnsvedsvägen 420,784 66 Borlänge,https://www.datacentermap.com/sweden/falun/ecodatacenter-borlange/
Boden,boden,https://www.datacentermap.com/sweden/boden/,3,Ardent Boden,Ardent Data Centers,Hydrogrand 2,961 43 Boden,https://www.datacentermap.com/sweden/boden/hydro66/
Boden,boden,https://www.datacentermap.com/sweden/boden/,3,HIVE Sweden 1.0,HIVE Digital Technologies Ltd,Hangargränd 1,961 34 Boden,https://www.datacentermap.com/sweden/boden/hive-sweden-10/
Boden,boden,https://www.datacentermap.com/sweden/boden/,3,HIVE Sweden 2.0,HIVE Digital Technologies Ltd,Hydrogränd 1,961 43 Boden,https://www.datacentermap.com/sweden/boden/hive-sweden-20/
Gothenburg,gothenburg,https://www.datacentermap.com/sweden/gothenburg/,11,atNorth SWE03,atNorth,Byfogdegatan 6,415 05 Gothenburg,https://www.datacentermap.com/sweden/gothenburg/gompute-hpc-center/
Gothenburg,gothenburg,https://www.datacentermap.com/sweden/gothenburg/,11,Gothnet DC Marieholm,Göteborg Energi,Slakthusgatan 5D,415 02 Gamlestaden,https://www.datacentermap.com/sweden/gothenburg/gothnet-dc-marieholm/
Gothenburg,gothenburg,https://www.datacentermap.com/sweden/gothenburg/,11,Gothnet DC Backa,Göteborg Energi,Exportgatan 34,422 46 Hisings Backa,https://www.datacentermap.com/sweden/gothenburg/gothnet-dc-backa/
Gothenburg,gothenburg,https://www.datacentermap.com/sweden/gothenburg/,11,Ember Lidköping (EDC1),Ember AB,Fabriksgatan 4,53130 Lidköping,https://www.datacentermap.com/sweden/gothenburg/ember-ab/
Gothenburg,gothenburg,https://www.datacentermap.com/sweden/gothenburg/,11,TerraTel DC Lindholmen,TerraTel AB,Karlavagnsgatan 11,417 56 Gothenburg,https://www.datacentermap.com/sweden/gothenburg/dc-lindholmen/
Gothenburg,gothenburg,https://www.datacentermap.com/sweden/gothenburg/,11,InfraCom Västra Frölunda,InfraCom Group AB,Frölunda kyrkogata 33,421 47 Västra Frölunda,https://www.datacentermap.com/sweden/gothenburg/jbtpinse/
Gothenburg,gothenburg,https://www.datacentermap.com/sweden/gothenburg/,11,Optinet Data Center,Optinet Data AB,Mellbyvägen 19,433 30 Partille,https://www.datacentermap.com/sweden/gothenburg/optinet-data-center/
Gothenburg,gothenburg,https://www.datacentermap.com/sweden/gothenburg/,11,Bhanhof - Bunkerberget,Bahnhof,Artillerigatan 40,415 05 Göteborg,https://www.datacentermap.com/sweden/gothenburg/bhanhof-bunkerberget/
Gothenburg,gothenburg,https://www.datacentermap.com/sweden/gothenburg/,11,Ember Skövde (EDC2),Ember AB,Kaplansgatan 16D,549 34 Skövde,https://www.datacentermap.com/sweden/gothenburg/ember-skovde-edc2/
